AQL date,Source,Client CRM,Client country,Number of sales reps,Subscription period,PPC budget USD,Stage,Loss reason description,Closing Date
"Mar 14, 2024",Partner,Planfix,UA (Ukraine),1,,0,Closed Lost,"Contact person isn't desicion maker, just collects information","Mar 29, 2024"
"Mar 14, 2024",Partner,No CRM,UA (Ukraine),38,,0,Closed Lost,Partner failed to convey value/ no client's contacts,"Apr 3, 2024"
"Mar 14, 2024",Facebook PPC,No CRM,PL (Poland),10,,0-500,Negotiations,,
"Mar 13, 2024",Facebook PPC,No CRM,PL (Poland),2,,0-500,Closed Lost,High price without explanation,"Mar 28, 2024"
"Mar 13, 2024",Partner,Bitrix24,PL (Poland),8,,0-500,Negotiations,,
"Mar 13, 2024",Facebook PPC,No CRM,PL (Poland),3,,0,Project set up,,
"Mar 13, 2024",Partner,KeyCRM,UA (Ukraine),6,,0-500,Negotiations,,
"Mar 14, 2024",Partner,Planfix,UA (Ukraine),3,30,0-500,Closed Won,,"Mar 29, 2024"
"Mar 13, 2024",Partner,No CRM,UA (Ukraine),2,,0-500,Closed Lost,Partner failed to convey value/ no client's contacts,"Mar 19, 2024"
"Mar 13, 2024",Existing client,KeepinCRM,UA (Ukraine),5,90,0-500,Closed Won,,"Mar 20, 2024"
"Mar 13, 2024",Facebook PPC,Other,UA (Ukraine),1,360,0-500,Closed Won,,"Apr 2, 2024"
"Mar 13, 2024",Registration,Bitrix24,UA (Ukraine),7,,0,Trial,,
"Mar 13, 2024",Partner,Bitrix24,KZ (Kazakhstan),1,,0-500,Negotiations,,
"Mar 13, 2024",Registration,AmoCRM,KZ (Kazakhstan),5,,0,Closed Lost,High price and customer refused to implement any solution in general,"Mar 26, 2024"
"Mar 13, 2024",Inbound call,Creatio,UA (Ukraine),1,,2000-5000,Payment,,
"Mar 13, 2024",Partner,Uspacy,UA (Ukraine),1,,0-500,Closed Lost,High price without explanation,"Mar 15, 2024"
"Mar 13, 2024",Intercom,No CRM,PL (Poland),1,,500-1000,Closed Lost,Ads not run,"Mar 19, 2024"
"Mar 13, 2024",Registration,KeepinCRM,UA (Ukraine),3,,0-500,Closed Lost,Solving budget issues,"Mar 19, 2024"
"Mar 13, 2024",Intercom,Bitrix24,KZ (Kazakhstan),5,90,500-1000,Closed Won,,"Apr 1, 2024"
"Mar 13, 2024",Existing client,No CRM,UA (Ukraine),1,,0,Closed Lost,Competitor gave better offer,"Mar 13, 2024"
"Mar 12, 2024",Intercom,Other,UA (Ukraine),2,,0-500,Trial,,"Mar 19, 2024"
"Mar 12, 2024",Facebook PPC,Other,UA (Ukraine),2,,0-500,Closed Lost,Integrations,"Mar 12, 2024"
"Mar 12, 2024",Partner,G-PLUS,UA (Ukraine),4,,0,Negotiations,,
"Mar 12, 2024",Facebook PPC,Other,PL (Poland),3,,0-500,Negotiations,,
"Mar 12, 2024",Registration,Other,UA (Ukraine),1,180,500-1000,Closed Won,,"Mar 19, 2024"
"Mar 12, 2024",Registration,Custom CRM,KZ (Kazakhstan),27,,0-500,Negotiations,,
"Mar 12, 2024",Facebook PPC,No CRM,UA (Ukraine),8,,1000-2000,Negotiations,,
"Mar 12, 2024",Webinar,Custom CRM,UA (Ukraine),20,,0-500,Closed Lost,No responsible of the project at the moment,"Mar 12, 2024"
"Mar 12, 2024",Partner,No CRM,UA (Ukraine),1,,0-500,Closed Lost,Stopped communicating,"Mar 21, 2024"
"Mar 12, 2024",Inbound call,AmoCRM,KZ (Kazakhstan),3,,0-500,Closed Lost,Phone system,"Mar 26, 2024"
"Mar 12, 2024",Partner,ZohoCRM,UA (Ukraine),1,90,0,Closed Won,,"Mar 21, 2024"
"Mar 12, 2024",Intercom,No CRM,PL (Poland),3,,0-500,Negotiations,,
"Mar 12, 2024",Facebook PPC,No CRM,PL (Poland),4,,0,Negotiations,,
"Mar 12, 2024",Partner,No CRM,UA (Ukraine),1,,0-500,Trial,,
"Mar 12, 2024",Partner,RealtSoft,UA (Ukraine),1,,0-500,Closed Lost,Competitor gave better offer,"Mar 12, 2024"
"Mar 12, 2024",Partner,No CRM,UA (Ukraine),1,,0-500,Closed Lost,Competitor gave better offer,"Mar 12, 2024"
"Mar 12, 2024",Inbound call,KeyCRM,UA (Ukraine),15,,500-1000,Closed Lost,Solving budget issues,"Mar 22, 2024"
"Mar 12, 2024",Partner,AmoCRM,KZ (Kazakhstan),2,,500-1000,Negotiations,,
"Mar 12, 2024",Inbound call,No CRM,UA (Ukraine),3,,0-500,Closed Lost,Solving budget issues,"Mar 12, 2024"
"Mar 12, 2024",Partner,No CRM,UA (Ukraine),1,,500-1000,Closed Lost,Hiring,"Apr 2, 2024"
